@RELATION Features_16

@ATTRIBUTE Feature_1 REAL
@ATTRIBUTE Feature_2 REAL
@ATTRIBUTE Feature_3 REAL
@ATTRIBUTE Feature_4 REAL
@ATTRIBUTE Feature_5 REAL
@ATTRIBUTE Feature_6 REAL
@ATTRIBUTE Feature_7 REAL
@ATTRIBUTE Feature_8 REAL
@ATTRIBUTE Feature_9 REAL
@ATTRIBUTE Feature_10 REAL
@ATTRIBUTE Feature_11 REAL
@ATTRIBUTE Feature_12 REAL
@ATTRIBUTE Feature_13 REAL
@ATTRIBUTE Feature_14 REAL
@ATTRIBUTE Feature_15 REAL
@ATTRIBUTE Feature_16 REAL
@ATTRIBUTE class {class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8}

@DATA
0.667701863,143.5559006,0.621118012,124.2236025,0.531055901,90.81055901,0.611801242,120.5248447,0.639751553,131.7888199,0.605590062,118.0900621,0.624223602,125.4689441,0.627329193,126.7204969,class-1
0.685714286,98.74285714,0.49047619,50.51904762,0.385714286,31.24285714,0.519047619,56.57619048,0.576190476,69.71904762,0.480952381,48.57619048,0.519047619,56.57619048,0.485714286,49.54285714,class-1
0.679104478,123.5970149,0.5,67,0.332089552,29.55597015,0.567164179,86.20895522,0.623134328,104.0634328,0.555970149,82.83955224,0.548507463,80.63059701,0.518656716,72.09328358,class-1
0.683098592,198.7816901,0.530516432,119.8967136,0.32629108,45.35446009,0.5657277,136.3403756,0.636150235,172.3967136,0.546948357,127.4389671,0.514084507,112.584507,0.514084507,112.584507,class-1
0.664772727,155.5568182,0.528409091,98.28409091,0.355113636,44.38920455,0.508522727,91.02556818,0.582386364,119.3892045,0.525568182,97.23011364,0.607954545,130.1022727,0.491477273,85.02556818,class-1
0.703777336,249.1371769,0.51888668,135.4294235,0.332007952,55.44532803,0.522862823,137.5129225,0.636182903,203.5785288,0.552683897,153.6461233,0.500994036,126.250497,0.526838966,139.612326,class-1
0.691449814,128.6096654,0.50929368,69.7732342,0.353159851,33.55018587,0.568773234,87.02230483,0.6133829,101.2081784,0.531598513,76.01858736,0.598513011,96.3605948,0.550185874,81.42750929,class-1
0.656050955,67.57324841,0.535031847,44.94267516,0.305732484,14.67515924,0.585987261,53.91082803,0.636942675,63.69426752,0.560509554,49.32484076,0.515923567,41.78980892,0.522292994,42.82802548,class-1
0.686746988,117.4337349,0.550200803,75.37751004,0.313253012,24.43373494,0.570281124,80.97991968,0.618473896,95.24497992,0.562248996,78.71485944,0.546184739,74.2811245,0.526104418,68.91967871,class-1
0.698895028,176.820442,0.538674033,105.0414365,0.422651934,64.66574586,0.555248619,111.6049724,0.604972376,132.4889503,0.546961326,108.2983425,0.563535912,114.961326,0.535911602,103.9668508,class-1
